#START7777
#             TM   L_VIS  R_VIS  L_RVR  R_RVR  CH_MIN    TA     TD     HM     PS     PA     RN  예비1  예비2   WD02   WD02   WD02   WS02   WS02   WS02   WD10   WD10   WD10   WS10   WS10   WS10
#    YYYYMMDDHHMI                                  m   0.1C   0.1C      % 0.1hPa 0.1hPa  0.1mm                  deg    MAX    MIN 0.1m/s    MAX    MIN    deg    MAX    MIN 0.1m/s    MAX    MIN
  92 202407100114   1600 -99999   2000 -99999    300    221    218     98  10040   9964      0 -99999 -99999     80    100     30     14     19      7     50     50      0      8     19      1
 151 202407100114  10000 -99999   2000 -99999   1700    231    228     99  10059  10050     20 -99999 -99999    310    330    300     10     12      8    280    320    250     11     13      7
 163 202407100114  10000 -99999   2000 -99999   1400    259    245     92  10014  10000      1 -99999 -99999    200    210    170     60     86     46    180    210    160     68    103     46
 167 202407100114  10000 -99999   2000 -99999   1100    255    250     96  10040  10029      0 -99999 -99999    190    230    160     51     82     28    160    220    120     41     82     25
 110 202407100114  10000 -99999   2000 -99999   2800    236    233     98  10016   9996      3 -99999 -99999    100    110     90     43     67     22     90    110     70     38     67     22
 113 202407100114  10000 -99999   2000 -99999   1100    235    219     91  10006   9999      1 -99999 -99999     80    100     60     40     57     24     80    110     60     42     63     24
 182 202407100114  10000 -99999   2000 -99999  20700    287    228     71  10036  10009      0 -99999 -99999    230    250    210     94    146     44    220    250    190     95    171     41
  92 202407100115   1400 -99999   2000 -99999    300    221    218     98  10040   9964      0 -99999 -99999     80    100     60     16     19     12     60     60      0      8     19      1
 151 202407100115  10000 -99999   2000 -99999   1700    231    229     99  10059  10049     20 -99999 -99999    320    340    300      9     10      8    280    330    250     10     13      7
 163 202407100115  10000 -99999   2000 -99999   1400    259    245     92  10012   9998      1 -99999 -99999    200    210    170     62     85     46    180    210    160     66    103     46
 167 202407100115  10000 -99999   2000 -99999   1100    257    249     94  10040  10030      0 -99999 -99999    200    230    160     53     82     28    170    220    120     41     82     25
 110 202407100115  10000 -99999   2000 -99999   2800    236    232     98  10015   9995      3 -99999 -99999    100    110     70     43     67     22     90    110     60     39     67     22
 113 202407100115  10000 -99999   2000 -99999   1100    235    219     91  10008  10000      1 -99999 -99999     90    110     60     39     56     24     80    110     60     42     63     24
 182 202407100115  10000 -99999   2000 -99999  20700    287    229     71  10036  10009      0 -99999 -99999    230    250    210     91    148     44    220    250    190     94    171     41
  92 202407100116   1400 -99999   2000 -99999    300    221    218     98  10040   9964      0 -99999 -99999     70    100     60     15     20     10     60     60      0      9     20      1
 113 202407100116  10000 -99999   2000 -99999   1100    236    219     90  10009  10001      1 -99999 -99999     80    110     40     35     56     20     80    110     30     42     63     20
 167 202407100116  10000 -99999   2000 -99999   1100    259    247     92  10040  10030      0 -99999 -99999    200    230    170     52     78     25    170    220    120     42     82     25
 110 202407100116  10000 -99999   2000 -99999   2800    237    233     98  10014   9994      3 -99999 -99999     90    110     70     38     51     26     90    110     60     39     67     22
 151 202407100116  10000 -99999   2000 -99999   1700    230    228     99  10059  10049     20 -99999 -99999    340    350    320      8     10      7    290    340    250     10     13      7
 163 202407100116  10000 -99999   2000 -99999   1400    259    245     92  10011   9997      1 -99999 -99999    190    210    180     67     85     49    180    210    160     66    103     46
 182 202407100116  10000 -99999   2000 -99999  20700    287    228     71  10036  10009      0 -99999 -99999    220    240    210     95    148     56    220    250    190     92    171     41
  92 202407100117   1600 -99999   2000 -99999    300    221    218     98  10040   9964      0 -99999 -99999     80    110     60     16     21     10     60     60      0     10     21      1
 110 202407100117  10000 -99999   2000 -99999   2800    236    233     99  10014   9993      3 -99999 -99999     80    100     60     37     49     26     90    110     50     39     67     22
 113 202407100117  10000 -99999   2000 -99999   1100    236    218     90  10011  10003      1 -99999 -99999     70     90     40     33     45     20     80    110     30     41     63     20
 151 202407100117  10000 -99999   2000 -99999   1700    231    228     99  10059  10049     20 -99999 -99999    340    350    320      8     10      6    290    340    250      9     12      6
 163 202407100117  10000 -99999   2000 -99999   1400    260    245     91  10011   9997      1 -99999 -99999    190    200    180     69     97     49    190    210    160     66     99     46
 167 202407100117  10000 -99999   2000 -99999   1100    260    246     92  10041  10030      0 -99999 -99999    200    210    170     54     78     25    180    220    140     43     82     25
 182 202407100117  10000 -99999   2000 -99999  20700    287    228     71  10036  10008      0 -99999 -99999    220    240    200    104    147     61    220    250    190     95    171     41
  92 202407100118   1600 -99999   2000 -99999    300    221    218     98  10040   9965      0 -99999 -99999     80    110     60     16     21     10     60     60      0     11     21      1
 110 202407100118  10000 -99999   2000 -99999   2800    236    234     99  10013   9993      3 -99999 -99999     80    100     60     35     43     26     90    110     50     39     67     22
 113 202407100118  10000 -99999   2000 -99999   1100    237    219     90  10012  10004      1 -99999 -99999     80     90     50     30     45     17     70    110     30     39     63     17
 151 202407100118  10000 -99999   2000 -99999   1500    231    229     99  10059  10049     20 -99999 -99999    340    360    320      9     12      6    300    350    250      9     12      6
 163 202407100118  10000 -99999   2000 -99999   1300    260    245     91  10012   9997      1 -99999 -99999    190    200    180     69     97     48    190    210    160     66     97     46
 167 202407100118  10000 -99999   2000 -99999   1100    261    245     92  10041  10030      0 -99999 -99999    200    220    180     51     64     38    180    220    140     44     82     25
 182 202407100118  10000 -99999   2000 -99999  20700    287    228     71  10036  10009      0 -99999 -99999    220    250    200     98    147     56    220    250    190     91    148     41
  92 202407100119   1600 -99999   2000 -99999    300    221    218     98  10040   9965      0 -99999 -99999     70     90     50     15     20     11     60     60      0     12     21      1
 163 202407100119  10000 -99999   2000 -99999   1300    260    245     92  10011   9997      1 -99999 -99999    190    210    180     66     97     46    180    210    160     66     97     46
 110 202407100119  10000 -99999   2000 -99999   2800    236    234     99  10012   9992      3 -99999 -99999     80     90     60     37     51     24     80    110     50     39     67     22
 113 202407100119  10000 -99999   2000 -99999   1100    237    219     89  10012  10004      1 -99999 -99999     80    110     50     22     39     13     70    110     30     36     63     13
 182 202407100119  10000 -99999   2000 -99999  20700    286    228     71  10035  10008      0 -99999 -99999    230    250    200     79    114     56    220    240    190     91    148     41
 151 202407100119  10000 -99999   2000 -99999   1500    230    228     99  10059  10049     20 -99999 -99999    350    360    330     11     15      8    310    350    270     10     15      6
 167 202407100119  10000 -99999   2000 -99999   1100    261    246     92  10041  10030      0 -99999 -99999    190    220    170     48     60     36    180    220    150     45     82     25
  92 202407100120   1800 -99999   2000 -99999    300    221    218     98  10040   9965      0 -99999 -99999     70     90     50     15     19     10     60     60      0     13     21      1
 163 202407100120  10000 -99999   2000 -99999   1300    260    245     92  10010   9996      1 -99999 -99999    190    210    170     67    108     46    180    210    160     66    108     46
 110 202407100120  10000 -99999   2000 -99999   2800    236    234     99  10011   9991      3 -99999 -99999     80    100     60     44     63     24     80    110     50     40     67     22
 113 202407100120  10000 -99999   2000 -99999   1100    236    218     90  10012  10004      1 -99999 -99999     70    110     30     23     38     11     70    100     20     34     59     11
 151 202407100120  10000 -99999   2000 -99999   1500    230    228     99  10059  10049     20 -99999 -99999    340    360    330     14     16      9    320    350    280     10     16      6
 167 202407100120  10000 -99999   2000 -99999   1100    260    247     93  10040  10030      0 -99999 -99999    190    230    170     42     56     24    180    220    150     46     82     24
 182 202407100120  10000 -99999   2000 -99999  20700    286    228     71  10035  10008      0 -99999 -99999    230    250    210     84    163     51    220    240    190     91    163     41
  92 202407100121   1800 -99999   2000 -99999    300    221    218     98  10040   9965      0 -99999 -99999     70    100     40     14     19      9     60    100     20     14     21      5
