ISSUE_HW_DAY_2019-05_2019-05_2021
일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2019-05-01,북강릉(104),X,20.8,20.8,15.4,9.4,66.6,X, ,X,높음
2019-05-01,동해(106),X,19.5,18.1,13.6,9.8,82.4,X, ,X,낮음
2019-05-01,서울(108),X,21.9,22.2,16.4,11.2,48.9,X, ,X,높음
2019-05-01,인천(112),X,18.6,18.5,14.2,10.7,65,X, ,X,높음
2019-05-01,원주(114),X,21.3,22.8,16,9.9,55.8,X, ,X,낮음
2019-05-01,울릉도(115),X,19,16.9,13.3,11.6,87.1,X, ,X,낮음
2019-05-01,수원(119),X,21.6,21.1,14.3,9.2,70.9,X, ,X,낮음
2019-05-01,영월(121),X,21.9,22.6,15.7,8.5,62,X, ,X,낮음
2019-05-01,충주(127),X,21.7,22.5,14.8,7.6,62.3,X, ,X,낮음
2019-05-01,서산(129),X,21.7,21.9,13.2,7.6,72,X, ,X,높음
2019-05-01,울진(130),X,20,17.6,14.7,12.4,88.5,X, ,X,낮음
2019-05-01,청주(131),X,21.9,23,16.6,11.3,56.5,X, ,X,높음
2019-05-01,대전(133),X,22.6,23.3,15.9,10.3,68.5,X, ,X,높음
2019-05-01,추풍령(135),X,20.5,20.8,15.5,10.3,54.4,X, ,X,낮음
2019-05-01,안동(136),X,22.4,23.3,16,10.1,65.5,X, ,X,높음
2019-05-01,상주(137),X,23.1,23.5,17.1,11.6,55.1,X, ,X,낮음
2019-05-01,포항(138),X,23.3,24.8,18,13,69.6,X, ,X,낮음
2019-05-01,군산(140),X,17.6,15.8,11.6,9.1,91.5,X, ,X,낮음
2019-05-01,대구(143),X,22.7,24.4,17.9,10.5,54.3,X, ,X,높음
2019-05-01,전주(146),X,21.3,19.7,13.5,10.4,85.9,X, ,X,높음
2019-05-01,울산(152),X,23.2,23.1,17.1,12.7,72,X, ,X,높음
2019-05-01,창원(155),X,23.8,23.6,15.9,11.8,76,X, ,X,높음
2019-05-01,광주(156),X,21.8,21.5,14.4,10.2,75.5,X, ,X,높음
2019-05-01,부산(159),X,22.1,20.8,17,14.3,72.1,X, ,X,높음
2019-05-01,통영(162),X,21.7,20.6,15.9,13.1,79.6,X, ,X,낮음
2019-05-01,목포(165),X,17.5,15.6,12.1,10.2,82.8,X, ,X,높음
2019-05-01,여수(168),X,21.5,22,17.3,13.9,66.1,X, ,X,낮음
2019-05-01,흑산도(169),X,16,12.9,11.6,10.4,87.1,X, ,X,낮음
2019-05-01,완도(170),X,22.4,21.3,15.6,11.6,67.1,X, ,X,낮음
2019-05-01,고창(172),X,19.1,17.7,11.6,8.3,88,X, ,X,낮음
2019-05-01,제주(184),X,20,18.6,14.7,12.4,74.6,X, ,X,높음
2019-05-01,진주(192),X,24.2,23.7,16.7,11.8,71,X, ,X,낮음
2019-05-01,양평(202),X,22.2,23.9,16,8.4,59.5,X, ,X,낮음
2019-05-01,이천(203),X,22.5,24.7,16,9.2,51.9,X, ,X,낮음
2019-05-01,인제(211),X,21.6,23.9,15.5,7,56,X, ,X,낮음
2019-05-01,홍천(212),X,22.8,25.2,16,8.4,61,X, ,X,낮음
2019-05-01,태백(216),X,19.5,20.3,13.7,7.8,64.8,X, ,X,낮음
2019-05-01,정선군(217),X,20.4,21.8,15.2,8.3,58.9,X, ,X,낮음
2019-05-01,제천(221),X,21.2,22.8,14.6,6.5,61,X, ,X,낮음
2019-05-01,보은(226),X,22,22.5,15,7.7,64.1,X, ,X,낮음
2019-05-01,천안(232),X,20.1,20.9,13.9,6.6,57.8,X, ,X,낮음
2019-05-01,보령(235),X,18.1,16.5,10.6,7.5,86.4,X, ,X,낮음
2019-05-01,부여(236),X,22,23.1,14.1,8.6,72.5,X, ,X,낮음
2019-05-01,금산(238),X,21.6,21.6,14.4,9.4,70.9,X, ,X,낮음
2019-05-01,세종(239),X,,,,,,X, ,X,높음
2019-05-01,부안(243),X,19.1,17.3,12.1,8.5,78.3,X, ,X,낮음
2019-05-01,임실(244),X,20.9,20.6,13.2,8.1,75,X, ,X,낮음
2019-05-01,정읍(245),X,21.5,18.8,12.4,7.6,88.4,X, ,X,낮음
2019-05-01,남원(247),X,21.1,21.4,14.8,9.8,63.6,X, ,X,낮음
2019-05-01,장수(248),X,20,20,13.8,6.5,69.9,X, ,X,낮음
2019-05-01,영광군(252),X,19.3,17.5,11.6,7.9,84.4,X, ,X,낮음
2019-05-01,김해시(253),X,25.2,25.6,17.6,13.2,73.8,X, ,X,낮음
2019-05-01,순창군(254),X,21.1,21.1,14,8.8,75,X, ,X,낮음
2019-05-01,양산시(257),X,24.7,25.6,17.4,12.2,75.4,X, ,X,낮음
2019-05-01,강진군(259),X,21.6,20.9,14.6,10.6,67.5,X, ,X,낮음
2019-05-01,장흥(260),X,22.7,22.5,15,10.5,71.4,X, ,X,낮음
2019-05-01,해남(261),X,20.2,18.9,12.6,8.7,80.6,X, ,X,낮음
