지점,지점명,일시,평균풍속(KT),최대풍속(KT),최대순간풍속(KT),최대풍속 나타난시각(hhmi),최대순간풍속 나타난시각(hhmi),최대풍속 풍향(deg),최대순간풍속 풍향(deg),최단시정현상,최고기온(°C),최저기온(°C),최고기온시각(hhmi),최저기온시각(hhmi),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),강수량합(mm),1시간최다강수(mm),1시간최다강수 시각(hhmi),30분최다강수(mm),10분최다강수(mm),최심신적설(cm),최심적설(cm),평균운량(1/8),5/8이상최저운고(FT),평균이슬점온도(°C),평균상대습도(%),기사란
110,김포공항,2020-01-01,3.2,7,13,226,1522,150,210,71,2.1,-5.9,1439,404,1032.4,1033.9,1031.3,0,,,,,,,7.1,2500,-6.3,71,{눈}0-51. {눈}213-242. {눈}320-511. {눈}557-818. {눈}908-1115. {박무}1100-1200. {박무}2200-2400.
110,김포공항,2020-01-02,2.8,8,12,1533,1536,280,280,10,4.9,-3.7,1359,2254,1029.8,1031.4,1028.5,,,,,,,,5.9,2500,-2.7,77,{박무}0-200. {박무}600-700. {박무}900-1000. {연무}1000-1900. {박무}1900-2400.
110,김포공항,2020-01-03,2.7,6,12,1,1537,280,260,10,5.4,-5.7,1406,759,1027.7,1029.4,1026.1,,,,,,,,0.6,,-5.4,75,{박무}0-957. {연무}957-1400. {박무}2200-2400.
110,김포공항,2020-01-04,4,12,17,1559,1516,310,330,10,6.9,-6.5,1400,350,1026.4,1028.8,1024.9,,,,,,,,1.5,3500,-5.4,71,{박무}0-1200. {연무}1200-1400.
110,김포공항,2020-01-05,2.5,6,10,2257,1315,40,330,10,6.2,-7.3,1346,639,1030.7,1032.7,1028.5,,,,,,,,3.2,18000,-6.7,67,{박무}200-1000. {연무}1000-1100.
110,김포공항,2020-01-06,4.5,10,14,1339,1408,90,90,61,5.3,-2.4,1145,32,1026.3,1030.4,1020.3,1.9,,,,,,,8,500,-0.6,82,{박무}100-600. {진눈깨비}849-900. {비}928-2400. {박무}1700-2400.
110,김포공항,2020-01-07,4.7,10,16,200,119,100,110,61,8.4,3.8,2315,337,1010.7,1020.3,997.6,38,,,,,,,8,300,5.5,99,{비}0-2400. {박무}0-2400.
110,김포공항,2020-01-08,9.5,20,32,100,32,220,210,61,9.3,0,27,2338,1013.6,1023.7,997.3,8.6,,,,,,,7.9,500,1.4,89,{박무}0-235. {비}0-800. {박무}1100-2400.
110,김포공항,2020-01-09,5.3,11,16,1338,1334,350,350,10,1.6,-4.4,1305,2351,1024.7,1026.2,1023.3,,,,,,,,1.9,2500,-4.8,76,{박무}0-1300. {연무}2100-2200. {박무}2200-2400.
110,김포공항,2020-01-10,3.2,8,ㄴ,1746,1626,290,270,10,4,-5.1,1537,127,1024.4,1026.5,1022.5,,,,,,,,1.7,16000,-4.8,78,{박무}0-1200. {연무}1200-1500. {박무}2100-2400.
110,김포공항,2020-01-11,3.8,8,12,1219,1233,350,350,10,4.2,-4.9,1438,536,1020.8,1022.9,1019,,,,,,,,2.3,15000,-4.3,79,{박무}0-1200. {연무}1200-1600. {연무}2100-2400.
110,김포공항,2020-01-12,4.8,10,14,1603,1443,270,270,10,2.7,-3.9,1403,743,1018.7,1020.9,1017.2,,,,,,,,3.2,12000,-5.8,71,{연무}0-300. {박무}300-1000. {연무}1000-1100.
110,김포공항,2020-01-13,4.4,10,15,919,1225,300,340,,0.7,-6.8,1447,440,1023.5,1026.1,1020.4,,,,,,,,1.4,3000,-8.8,66,
110,김포공항,2020-01-14,3.9,8,12,1806,1455,280,340,,2.2,-7,1451,419,1026.2,1028.4,1024.7,,,,,,,,2.1,4500,-9,64,
110,김포공항,2020-01-15,3.3,9,14,1340,1318,320,330,10,2.1,-8.4,1454,610,1029,1030.5,1027.8,,,,,,,,0,,-9.5,64,{박무}841-900.
110,김포공항,2020-01-16,4,9,13,1458,1524,310,340,,2.9,-6.7,1427,231,1027.8,1029.6,1025.9,,,,,,,,3.6,17000,-9,63,
110,김포공항,2020-01-17,3.2,7,11,1532,1625,340,280,10,4.6,-6.4,1443,558,1024,1026,1022.1,,,,,,,,5.2,18000,-7.6,67,{박무}900-1000.
